,2022_05_09T11_13_38_coda,2022_05_09T11_13_38_envelope,2023_03_22T14_50_33_coda,2023_03_22T14_50_33_envelope,2018_11_18T12_48_44_coda,2018_11_18T12_48_44_envelope,2023_06_16T16_38_28_coda,2023_06_16T16_38_28_envelope,2012_12_30T23_35_02_coda,2012_12_30T23_35_02_envelope
BURY,2.6141173514350566e-10,2.0577912957126302e-10,3.5650115900218403e-10,4.5280297849288604e-10,6.139874388119355e-10,7.48625520149722e-10,2.221828598403172e-09,6.923562648301786e-09,0.0,0.0
BARI,1.853797724119351e-09,1.319801810406852e-09,2.044482514872854e-09,2.571420664826342e-09,0.0,0.0,1.5246760746764982e-08,5.683975948686708e-08,0.0,0.0
MEM,3.550306120595767e-10,2.5883552302557605e-10,5.151739924953266e-10,6.885660116253077e-10,0.0,0.0,6.0966016203306845e-09,2.101831446760605e-08,0.0,0.0
NALPS,1.8411687330493967e-10,1.1464826486289811e-10,0.0,0.0,3.11691827347573e-10,3.1449196370793125e-10,4.732736974110031e-09,1.6080739146796196e-08,1.2609198429825226e-10,3.832799043826522e-10
MAGA,1.9132817451811468e-10,1.4474132641059132e-10,2.6137758441177354e-10,3.419107861622736e-10,0.0,0.0,2.893576655437896e-09,1.114232702861868e-08,0.0,0.0
ROSI,5.103397403505151e-10,5.321205680242183e-10,8.555096763724893e-10,1.1252679947641996e-09,6.14551278706666e-10,6.801869909446788e-10,1.098989668525232e-08,4.415452763306262e-08,0.0,0.0
WIMIS,3.5218950812412724e-10,2.859783967770652e-10,0.0,0.0,3.1439141559609937e-10,3.5337937574169804e-10,6.008173601444752e-09,1.8906937075472933e-08,3.60820941048512e-10,9.560070327086731e-10
WILW,2.8652929476548965e-10,1.5856048212708304e-10,6.297276703237896e-10,8.107140727931804e-10,0.0,0.0,7.30766519934411e-09,2.6125090021593195e-08,3.934082669569377e-10,1.8208564233572844e-09
OG02,3.0154699880004676e-10,2.6445053301666486e-10,0.0,0.0,1.5345988254573936e-10,1.8096674029798246e-10,3.5685168865532062e-09,1.1070351831005268e-08,1.8013830048626367e-10,4.506276458091211e-10
MONC,1.796060567586471e-09,1.1660078140107431e-09,4.377495406114902e-09,4.837154038265241e-09,1.488446968078531e-09,1.728204881112778e-09,0.0,0.0,7.048314465117962e-10,1.7916585863014018e-09
DUNF,2.29071738485524e-10,1.2676545213182592e-10,5.9103621156095e-10,8.003872663945099e-10,0.0,0.0,1.0468854818165906e-08,2.3059613695182388e-08,0.0,0.0
TERZ,2.8328656140720813e-10,2.0788118124234416e-10,4.885296403162309e-10,6.25434057347618e-10,0.0,0.0,3.7384206357417854e-09,1.6036250670948313e-08,0.0,0.0
MFF,2.0275023737081527e-10,1.1631704419072419e-10,5.825608418246145e-10,7.685494842582086e-10,0.0,0.0,0.0,0.0,1.5756344663209177e-09,3.249598018831827e-09
NEUF,1.454394972982144e-09,1.0252802797566135e-09,1.305060089288407e-09,1.699631423041429e-09,0.0,0.0,9.951146780869261e-09,4.6187501388439376e-08,0.0,0.0
BNI,0.0001787559497351,0.0001185624159335,0.0004275056469389,0.0005690570784307,0.0003658317247269,0.0003829610447582,0.0063680005712091,0.0165926077175015,2.574485650473931e-10,6.670281257633494e-10
MARN,6.859879174086942e-10,5.153556965512219e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIMR,1.5586668611977055e-08,1.2977337067454514e-08,4.7500205895336244e-09,5.535486945249597e-09,0.0,0.0,4.7008947730588025e-09,1.2738745518483112e-08,0.0,0.0
EMMET,3.914605789405561e-10,2.909990058671645e-10,0.0,0.0,3.1535169443422527e-10,3.418921367789784e-10,0.0,0.0,2.8680448191170537e-10,9.26016902425732e-10
MOSI,2.0214661728543767e-09,1.750086185589214e-09,2.255700164073818e-09,2.983691760931146e-09,9.005598081493161e-10,1.056552445150908e-09,1.08453184810274e-08,4.8110524700012407e-08,0.0,0.0
ARBF,5.430824360625611e-10,4.923134348338332e-10,9.11684273519254e-10,1.0442674039659701e-09,1.4617178066653415e-09,1.877073093368071e-09,8.548601311536681e-09,2.364003641311448e-08,0.0,0.0
URDF,2.232344577025444e-09,1.920688135748172e-09,0.0,0.0,0.0,0.0,1.7654444717733953e-08,6.362336108804502e-08,0.0,0.0
LOUF,1.9241753919623438e-10,9.487995684440452e-11,5.0367596194193e-10,6.795783372210156e-10,0.0,0.0,3.4846538599320763e-09,1.1443691409187474e-08,0.0,0.0
SALO,1.0954511203700794e-09,9.095654659953419e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONQ,5.283022317738348e-10,2.853504670153864e-10,1.4483369997044451e-09,1.955230421461425e-09,0.0,0.0,1.4821199561103362e-08,5.745864083303068e-08,0.0,0.0
CLEV,1.131373956511572e-09,8.892550065229489e-10,2.9794278252793514e-09,3.705673567721324e-09,0.0,0.0,1.5047981273204926e-08,5.22647007384324e-08,0.0,0.0
SALSA,2.7075820453125564e-10,2.1532292492252966e-10,1.90381649812992e-10,2.5322533786397247e-10,3.2826151478744425e-10,4.020094193213601e-10,2.4084496788133558e-09,7.806798329846055e-09,0.0,0.0
SIMPL,2.1126768264424846e-10,1.2378702402871072e-10,0.0,0.0,2.868873756259851e-10,3.110610408941276e-10,4.2382645358543236e-09,1.4714658834107056e-08,2.6629425611692156e-10,6.969784985431714e-10
GRIMS,3.7919367376166957e-10,2.1434361810843967e-10,0.0,0.0,2.0674915527103748e-10,2.4840784842017536e-10,2.600381737895988e-09,7.501531848513871e-09,2.0365437532356756e-10,4.590163912509421e-10
OGS3,9.062138319461243e-10,7.286082873030935e-10,1.5897342902076335e-10,2.0574473305407263e-10,1.167104653201941e-10,1.4035342475956071e-10,2.310932401171485e-09,6.253657939184078e-09,0.0,0.0
HASLI,2.990406410568716e-10,2.301197356165926e-10,0.0,0.0,3.518624905845325e-10,4.049547534632215e-10,5.873938834123495e-09,2.0596574129131343e-08,3.603294574013186e-10,1.0040292343213727e-09
LIENZ,3.0921016475173205e-10,2.1476065268528502e-10,0.0,0.0,4.1148661081195686e-10,4.3468233054283255e-10,7.424761442864459e-09,2.7820434735894862e-08,4.540640207859532e-10,1.7329823944715002e-09
FOURG,3.927482958861288e-10,1.906589792377808e-10,0.0,0.0,0.0,0.0,5.948684131572532e-09,1.9787676280226124e-08,0.0,0.0
SAVIG,4.488100040549335e-10,2.8610479512439554e-10,0.0,0.0,4.16398500514253e-10,4.680069376745906e-10,0.0,0.0,0.0,0.0
METMA,2.2659536901760326e-10,1.3469166051898408e-10,0.0,0.0,3.2631118498691647e-10,3.530829396548062e-10,7.2315443308814954e-09,1.8835907681272905e-08,0.0,0.0
SAUF,5.463237854981644e-10,4.0542755762583856e-10,7.82693478517941e-10,1.0288446944311426e-09,1.5064974001496534e-09,1.776527246227109e-09,9.14438792181992e-09,2.0379523790031903e-08,0.0,0.0
SJAF,2.4867157753592955e-10,1.6417908783028344e-10,5.011055946021084e-10,6.648188121862561e-10,0.0,0.0,5.0982585593363835e-09,1.3229105544575428e-08,5.762472970377119e-10,8.640004090096761e-10
FIESA,1.7244344169328855e-10,1.1916899033798043e-10,0.0,0.0,4.1107391277202844e-10,4.3865434984733614e-10,6.624132556798784e-09,2.292537923512309e-08,3.754897940820216e-10,1.0943671846670894e-09
OGS1,7.193780539083837e-10,4.4985595393633926e-10,2.598642145487904e-10,3.3810047358159856e-10,1.4680700809900648e-10,1.6842722994038538e-10,2.9263787775257253e-09,8.142877786719516e-09,1.5337605693941989e-10,3.4121126608794936e-10
PLOF,3.6903780764350276e-10,2.3182223358424875e-10,0.0,0.0,0.0,0.0,4.453717822550379e-09,1.5029946884268253e-08,0.0,0.0
ROMAN,8.450639532257236e-10,6.0822506066289e-10,0.0,0.0,5.891708844760061e-10,7.066649952611571e-10,6.620746196771277e-09,2.6909214712291596e-08,0.0,0.0
LLS,1.3374101901858248e-10,9.001383907851329e-11,0.0,0.0,0.0,0.0,2.874797371453287e-09,1.1099176913222987e-08,2.518578905334426e-10,6.59985318311009e-10
VINZL,1.3032969391199794e-09,8.90044194002331e-10,0.0,0.0,0.0,0.0,1.0702726674124658e-08,3.681418498224148e-08,0.0,0.0
KLB,2.5688768027752187e-10,1.4225949540561792e-10,5.457566703452602e-10,7.130297849891215e-10,0.0,0.0,7.0130994364545435e-09,2.6405342110758197e-08,0.0,0.0
CORI,1.5861904750331282e-10,9.64336865347606e-11,0.0,0.0,0.0,0.0,3.550456657260365e-09,1.1375006061351011e-08,0.0,0.0
MANO,4.69067400987639e-10,3.078934694707541e-10,0.0,0.0,0.0,0.0,1.123966910922737e-08,3.8085987626450004e-08,0.0,0.0
RIAF,2.4051525786316727e-10,9.719303469765992e-11,6.36496695287368e-10,8.070705845146912e-10,0.0,0.0,0.0,0.0,0.0,0.0
LILIE,5.365410863552492e-10,3.799035062054421e-10,9.213480228331836e-10,1.2007253185037123e-09,0.0,0.0,8.638250925270581e-09,3.77713678416928e-08,7.30952152370214e-10,3.210261449777853e-09
RUMEL,1.303986669119862e-09,1.0664810919769295e-09,1.293506338309213e-09,1.64937998626221e-09,0.0,0.0,1.3480072173983092e-08,5.221088263601852e-08,0.0,0.0
GRAM,3.0644201249920994e-10,3.9846860518857646e-10,3.9550820062567167e-10,4.94170020220555e-10,0.0003138837881477,0.0003669489241633,2.1421229433280867e-09,1.1060840551112141e-08,0.0,0.0
WMG,7.022177924173533e-10,4.67639398801755e-10,1.2278386442492007e-09,1.6429633821741523e-09,0.0,0.0,1.5046177331969872e-08,5.0108887854914446e-08,8.394981080986828e-10,4.462504361826274e-09
HOHE,1.0631383085058538e-09,8.075773903896359e-10,0.0,0.0,8.62441488143819e-10,9.813090090554771e-10,1.3521157613906611e-08,4.8925004757421855e-08,0.0,0.0
ROSF,3.2254942723546787e-10,1.6577444981515924e-10,0.0,0.0,0.0,0.0,3.131796543702698e-09,1.2876099087121469e-08,0.0,0.0
TRULL,1.9960117649597435e-09,1.573982874685843e-09,0.0,0.0,0.0,0.0,1.2937345472692266e-08,4.7348926410045234e-08,0.0,0.0
BALST,4.394153483767218e-10,3.352302103911062e-10,0.0,0.0,5.193785795923145e-10,5.60150254968153e-10,1.1910755531449953e-08,3.789649391376201e-08,6.851422473246494e-10,2.2704053364687194e-09
WGT,2.6273153827490187e-10,1.7205374913011515e-10,0.0,0.0,0.0,0.0,5.340111326430542e-09,1.9790092991982284e-08,0.0,0.0
SOMF,2.169319933347584e-10,1.103412448708104e-10,4.412832301055393e-10,6.021218463345312e-10,0.0,0.0,3.6948376221510255e-09,1.3613392875388556e-08,0.0,0.0
VMV,3.118071974829449e-10,2.3319649763179023e-10,0.0,0.0,0.0,0.0,3.509231735251314e-09,1.0913869818914533e-08,0.0,0.0
VIA,3.826854917749721e-10,3.795001182855875e-10,8.524422704999125e-10,1.1058449944214343e-09,0.0,0.0,6.066845106079897e-09,2.2154537800226946e-08,0.0,0.0
CBRU,1.4244249201892358e-10,7.572040074221926e-11,3.5730712276835206e-10,4.852686520099371e-10,0.0,0.0,6.2857547174372655e-09,1.38503140934095e-08,0.0,0.0
CI19,1.7973111697539608e-10,1.2314567374406342e-10,0.0,0.0,1.8259310738433422e-10,1.9528692048023936e-10,2.1459820511205943e-09,6.6965668648325755e-09,0.0,0.0
AVR,1.855860347967373e-10,1.286587614728007e-10,3.1461227378164533e-10,4.1304198448547086e-10,2.1495108656659712e-10,2.547341283135528e-10,4.090911147379184e-09,1.2236908517589453e-08,2.325627202217442e-10,5.163574186116558e-10
CPAL,1.4816997551471834e-10,1.11337621677939e-10,2.786672436007567e-10,3.845155563741983e-10,0.0,0.0,2.1990678690974555e-09,5.406667392191944e-09,0.0,0.0
MTLF,1.5421240103441228e-10,9.673026815862398e-11,4.314711938852344e-10,5.610380461160195e-10,0.0,0.0,4.793674223252694e-09,1.5403295981368495e-08,0.0,0.0
MABI,1.895166637631912e-10,1.4594854360665932e-10,3.3223276314589747e-10,4.685460712854714e-10,1.6504024938127055e-09,1.5142073410299871e-09,3.965570220378974e-09,1.6677495702875553e-08,2.1902558895770346e-10,6.312239903780947e-10
OGDF,1.8743825223555447e-10,1.1332020927982455e-10,4.200673929597212e-10,5.722076930632662e-10,0.0,0.0,8.831871787995185e-09,1.9638639975378773e-08,0.0,0.0
ARTF,3.6884490513573e-10,2.7994503535554235e-10,6.400978497038526e-10,8.049355672245346e-10,1.3945377434078802e-09,1.7110003975737123e-09,9.334269286489417e-09,2.6526831883798325e-08,0.0,0.0
OGCY,1.1521397524066212e-10,6.458470187891689e-11,2.294651020451016e-10,2.950457421281633e-10,0.0,0.0,4.63857820730393e-09,1.0970360941718478e-08,0.0,0.0
BHB,2.8814423116254587e-10,2.2804709024354107e-10,2.4314394165189966e-10,3.126380048655259e-10,2.2861377213867862e-10,2.8842738594083527e-10,2.224141547157686e-09,6.637940208175847e-09,1.265902828060785e-10,2.6534025762110503e-10
SPIF,4.868721943191091e-10,3.8531390602060047e-10,4.1162250289589774e-10,4.998675824336415e-10,6.751857686525981e-10,8.211257328633432e-10,4.270715569197395e-09,1.3669572661866776e-08,0.0,0.0
SENIN,1.9735127569839558e-10,1.0944851856363228e-10,0.0,0.0,2.5337759364332877e-10,2.78657890674926e-10,6.030671189103967e-09,1.7564329310904585e-08,3.0088151004357826e-10,8.783027198253962e-10
LUSI,2.13019672500952e-10,1.7179477170082746e-10,2.8015546677991117e-10,3.5174073759764954e-10,2.4912441692463617e-10,2.7465507433035205e-10,2.19812494452275e-09,9.606243735743512e-09,0.0,0.0
HAR1,6.376151008937354e-10,4.6533441516625375e-10,1.2266942468002823e-09,1.651109992948206e-09,9.902380255370632e-10,1.0485002460599422e-09,0.0,0.0,0.0,0.0
UCC,6.59962516923049e-10,4.87992267147711e-10,6.28630783126089e-10,7.99730017661327e-10,0.0,0.0,3.303757612865246e-09,1.4195729081522122e-08,5.07044531196904e-10,2.2599153994535343e-09
MELF,1.1690871985557114e-10,6.3649693263636e-11,3.52556048210066e-10,4.900792030005779e-10,0.0,0.0,0.0,0.0,0.0,0.0
FULLY,4.0206212576391826e-10,3.2454828399061967e-10,0.0,0.0,3.2504955944190407e-10,3.7389427368510414e-10,0.0,0.0,0.0,0.0
BOB,6.997675990743885e-10,4.2794858098669085e-10,4.1984780910432766e-10,5.539307460588489e-10,0.0,0.0,0.0,0.0,3.618911345420975e-10,8.317443121166385e-10
CIEL,1.057750104272714e-09,7.386861495928254e-10,0.0,0.0,1.178817851773463e-09,1.2427694786640748e-09,2.2092617222933472e-08,7.139214745636416e-08,0.0,0.0
CI18,1.4138101582592682e-10,9.804684630924866e-11,0.0,0.0,1.6640311692984828e-10,1.8646510149422034e-10,2.191878102019852e-09,6.988672588072798e-09,0.0,0.0
CERNS,4.997755152720024e-10,3.3846735297825687e-10,0.0,0.0,2.1102896887577266e-10,2.700968888431177e-10,3.316206238003483e-09,1.14108031989907e-08,0.0,0.0
PLEF,2.83658545055433e-10,1.3518926721824778e-10,7.75479617261536e-10,1.0071692831269512e-09,0.0,0.0,3.599018044227625e-09,1.2563990361524691e-08,0.0,0.0
ENR,3.1419177010618477e-10,2.1705528769131568e-10,3.663964909467797e-10,4.720690892400677e-10,0.0,0.0,4.331364517126344e-09,1.3543027141525454e-08,3.542721855048168e-10,5.50339230107603e-10
PLONS,2.9935102545299897e-10,2.1967505364978976e-10,0.0,0.0,2.9593017807294303e-10,3.3558236091107447e-10,4.857415678286127e-09,1.6292849026816498e-08,0.0,0.0
OGCC,1.3037430515726046e-10,6.418987095636857e-11,2.9816995791080817e-10,3.8685995997241345e-10,2.9055884733065634e-10,3.386395329831767e-10,6.8675336383468715e-09,1.6635927814485816e-08,0.0,0.0
CALF,2.2681355259991336e-10,1.487515908912706e-10,3.2355958295620496e-10,4.2881603168710767e-10,6.682322039846891e-10,8.030744467139227e-10,3.927537073249306e-09,1.6224043738850863e-08,6.147593329082822e-10,9.09897513759069e-10
ESCA,6.58522806962289e-10,4.62180018306071e-10,0.0,0.0,1.2531022825777152e-09,1.4813380105265755e-09,6.651929130145593e-09,1.7443680261722442e-08,5.826404463996246e-10,1.0129720104823777e-09
EILF,6.878113414015211e-10,5.977390621229395e-10,9.346375046819387e-10,1.1666335343024579e-09,4.470359468608614e-09,5.5731524732634955e-09,4.862512727563064e-09,1.5432184943777257e-08,1.1477798136233341e-09,1.5104817129644924e-09
MTNF,2.0184135716910911e-10,8.552358168938486e-11,5.192356843238395e-10,6.730230865803243e-10,0.0,0.0,3.403330204852522e-09,1.3062859925368308e-08,0.0,0.0
AIGLE,5.152411617714637e-10,3.6468036149662205e-10,0.0,0.0,3.630211895113033e-10,3.797467561299108e-10,6.647763269527731e-09,2.4247529520825798e-08,3.898949557992799e-10,9.91126782287755e-10
BORF,1.8589238340010907e-10,1.1125651317714991e-10,0.0,0.0,0.0,0.0,4.6507822415869915e-09,1.2911586842460909e-08,0.0,0.0
HAR2,6.8454179839606e-10,4.965523799199934e-10,1.315004617762031e-09,1.7119143348930515e-09,9.286446509704523e-10,9.78444672239583e-10,1.8052463477421442e-08,5.065563114317089e-08,0.0,0.0
BIMF,2.7661934216584994e-10,1.5933667941906776e-10,0.0,0.0,0.0,0.0,3.934106075771267e-09,1.3373100042161673e-08,0.0,0.0
DIX,1.4301130179161968e-10,2.3827208471340025e-10,0.0,0.0,1.980204890749497e-10,2.3229571720356702e-10,4.333977955616094e-09,1.1000080696018381e-08,2.2789116029643612e-10,5.6057211541317e-10
VALC,1.1568418348924952e-10,6.07689966237114e-11,3.2493484848509515e-10,4.1723697737976007e-10,0.0,0.0,3.803971087529751e-09,9.411132423285209e-09,0.0,0.0
VANNI,4.134179755629023e-10,2.986610800395809e-10,0.0,0.0,3.0395763368862023e-10,3.2588094507077046e-10,5.318231458641174e-09,1.597557575776021e-08,3.272411224702961e-10,8.343196504260061e-10
OGMY,1.8102206560599702e-10,1.2193806142814843e-10,0.0,0.0,1.5553799803646668e-10,1.7385683399534615e-10,4.502094389857413e-09,1.4131713231268704e-08,0.0,0.0
PAND,4.4980526771627447e-10,2.7090671453552247e-10,1.1000676617516578e-09,1.4666280652430167e-09,0.0,0.0,1.159027367734222e-08,3.023018696211851e-08,0.0,0.0
REMY,3.4457199796513104e-10,1.7128956235276979e-10,0.0,0.0,5.255762897537597e-10,5.615345060240663e-10,1.2741357394253513e-08,3.210677989549246e-08,6.650948601277243e-10,1.880490379777043e-09
DAUF,1.9919697498149567e-10,9.914440095725279e-11,4.82861756240701e-10,6.439305856722014e-10,0.0,0.0,0.0,0.0,0.0,0.0
OG35,1.7046934616036158e-10,1.041914041407214e-10,0.0,0.0,1.9534486675636439e-10,2.4204415546406515e-10,4.354370769206666e-09,1.637092750515089e-08,2.4310404314790605e-10,6.218154860543792e-10
OGLC,1.0182044970909711e-10,6.45846754409349e-11,2.00668603650169e-10,2.5710814587010194e-10,0.0,0.0,2.84681064595772e-09,8.723318318854289e-09,0.0,0.0
XAFF,3.9559438292303775e-10,2.432448114230361e-10,0.0,0.0,4.1313190749263165e-10,4.515203473004198e-10,7.1478046419559484e-09,2.6514137103697928e-08,0.0,0.0
ORIF,1.6430154263844575e-10,1.0124447413078095e-10,3.1866140946718064e-10,3.9833675303551766e-10,2.579827632535183e-10,2.851201971943213e-10,5.193157673781662e-09,1.2622055834794752e-08,0.0,0.0
POPM,6.020727189012022e-10,4.6332412934775056e-10,5.873543899867816e-10,7.041094899269795e-10,0.0,0.0,2.692826103056872e-09,1.5489551593037804e-08,2.4313228792748805e-10,4.446600798709071e-10
CAMF,3.8833824347473056e-10,2.6595297148159007e-10,0.0,0.0,0.0,0.0,5.579918297846591e-09,1.6578351779267973e-08,0.0,0.0
GRA,2.468184078001933e-10,2.0144781845853688e-10,3.9497468168212285e-10,5.098577477379835e-10,0.0,0.0,0.0,0.0,0.0,0.0
EPF,1.5939606589690587e-10,9.361378719246422e-11,5.12853744547777e-10,6.803150588735195e-10,0.0,0.0,5.954445609844195e-09,1.5813110958422074e-08,0.0,0.0
MOLES,2.3657335271754264e-10,1.6219819338442092e-10,0.0,0.0,0.0,0.0,5.533725572991704e-09,2.6536045627262614e-08,0.0,0.0
WLS,4.864483571479481e-10,3.3178173521368313e-10,0.0,0.0,5.17989427626302e-10,5.874672452444405e-10,1.102330006767398e-08,3.3952058526202454e-08,5.639546952136761e-10,2.2693907210650174e-09
MESRY,4.847868556433209e-10,3.3770143129094707e-10,0.0,0.0,0.0,0.0,8.118791121255304e-09,2.4743193666560753e-08,0.0,0.0
LRVF,3.6145239496994796e-09,2.84812280427507e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLIV,2.688439848551798e-10,1.4183129985415908e-10,0.0,0.0,0.0,0.0,4.565515907674266e-09,1.4107526467071792e-08,0.0,0.0
REST,2.6478967714978164e-10,1.8395726257322038e-10,4.1322233494627214e-10,5.327230697346954e-10,0.0,0.0,5.8213056263737624e-09,1.42858927559e-08,0.0,0.0
TERF,3.0478458143355357e-10,2.3811764313256403e-10,0.0,0.0,0.0,0.0,4.771482005988326e-09,1.4563393790071329e-08,0.0,0.0
RNCA,2.6769555679796936e-10,2.2092437064516686e-10,2.8962734586649183e-10,3.7454905778321145e-10,4.4411129729424717e-10,5.769879560177761e-10,1.3341541556581808e-09,6.121793986365683e-09,0.0,0.0
WLF,6.320384263049147e-10,3.8890621651239635e-10,1.5051896905816431e-09,1.9391094609919736e-09,0.0,0.0,1.6878111250977003e-08,5.7329250882280487e-08,1.258588142278108e-09,4.667311241972257e-09
MUTEZ,9.651279684285806e-10,7.296381843398352e-10,0.0,0.0,0.0,0.0,1.2115568618985984e-08,2.878939635992329e-08,0.0,0.0
BRANT,5.157059410345238e-10,3.3328500991139086e-10,0.0,0.0,5.09124707789349e-10,5.667010436195562e-10,1.458254468164454e-08,4.19100147772758e-08,8.148886796584664e-10,2.186686379174635e-09
WATA,7.388481775861361e-10,6.44359222051862e-10,9.251178763609655e-10,1.1466669159905804e-09,3.97184850572741e-10,4.61346497693553e-10,5.435026927975197e-09,3.851947502598765e-08,0.0,0.0
CHASS,3.5231576662004376e-10,2.3032781318918126e-10,0.0,0.0,0.0,0.0,1.0445218190061369e-08,2.9904835547585875e-08,0.0,0.0
DAVOX,1.6798558857512526e-10,1.4745575594262e-10,2.619798048293687e-10,3.2748973782981345e-10,2.230089456371872e-10,2.337817088394136e-10,3.0542823142312564e-09,1.1491235564639969e-08,3.1063924923645583e-10,8.083113583877762e-10
MUGIO,2.3348430989174576e-10,1.6942918060206232e-10,3.0890713532716847e-10,4.0474088111387416e-10,2.4230466428398417e-10,2.5848707038912037e-10,3.4364834165065756e-09,1.1941683063674972e-08,2.023944003672078e-10,5.684597136056738e-10
ILLEZ,4.850789162331203e-10,4.1398224984903054e-10,0.0,0.0,3.509927652583825e-10,4.0782594776395676e-10,0.0,0.0,0.0,0.0
CRNF,1.5487737303692275e-10,8.41818744749867e-11,4.923710236480402e-10,6.016839677841511e-10,0.0,0.0,0.0,0.0,0.0,0.0
BOST,4.987940442336124e-10,4.78517460884395e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FNEB,3.695365379685793e-10,2.2337711362759743e-10,1.031629999445602e-09,1.3307277870694303e-09,0.0,0.0,1.705358672674839e-08,3.760239145053605e-08,0.0,0.0
COLLE,6.891483214757165e-10,5.964835874057364e-10,0.0,0.0,0.0,0.0,7.047927761072964e-09,2.1205028636362942e-08,0.0,0.0
OPTB,1.0994772608771798e-09,7.795026194194206e-10,1.7112918321357291e-09,2.236221337636032e-09,0.0,0.0,7.645372232002842e-09,2.8614059867639703e-08,0.0,0.0
MMK,1.7372067278622155e-10,1.1545240611157804e-10,0.0,0.0,2.876476359992893e-10,3.216322853346913e-10,4.761912749292526e-09,1.2073812927750316e-08,2.6332235089749944e-10,6.995960300000309e-10
MUO,4.3503954076928143e-10,3.3399313673394764e-10,0.0,0.0,4.396270255924248e-10,4.816087357585331e-10,8.276797942153637e-09,2.4867163136275117e-08,4.1245722752806675e-10,1.118767483565612e-09
PGF,2.5121773354527554e-10,2.0237577965627406e-10,1.6460626977341726e-10,2.1795997867772238e-10,5.216058354594246e-10,6.026544456138487e-10,0.0,0.0,0.0,0.0
VARE,2.1697743496068835e-10,1.711643170159745e-10,2.7813788533524056e-10,3.470514783776901e-10,6.11652731472116e-10,6.337703193757637e-10,2.7483362869906514e-09,9.226377255791184e-09,0.0,0.0
BFO,2.393519864426575e-10,1.3758315103187848e-10,0.0,0.0,5.777440922686655e-10,5.905087408068867e-10,5.918915210976366e-09,2.3331821364276524e-08,6.227103817827492e-10,2.4691819959199244e-09
BLAF,1.723368117096473e-10,1.1752524814910655e-10,2.688839898478255e-10,3.41924678924863e-10,1.4621147842923914e-09,1.742894567675185e-09,5.024877415142436e-09,1.5516274725967325e-08,0.0,0.0
HAUIG,7.416524276251865e-10,5.6095211027906e-10,0.0,0.0,0.0,0.0,1.0312431128187354e-08,3.73238998915294e-08,0.0,0.0
MOTA,3.4857326611621477e-10,2.6442350400495115e-10,5.785212427439155e-10,7.592865467033837e-10,4.3629415827375236e-10,4.985491994211281e-10,7.219494396457524e-09,3.5674438765002114e-08,0.0,0.0
LADOL,3.3071907960269565e-10,1.7224722896095792e-10,0.0,0.0,0.0,0.0,1.0183879766064942e-08,3.359715034600989e-08,0.0,0.0
TORNY,7.70120435318692e-10,6.369510076566581e-10,0.0,0.0,0.0,0.0,7.621219473034269e-09,2.462935738278993e-08,0.0,0.0
LAUCH,2.1979942020902607e-10,1.6241124459483776e-10,0.0,0.0,4.0349212120846445e-10,4.1848054975632366e-10,5.71871193161607e-09,2.0356682417291717e-08,3.461774525292201e-10,9.387757120153547e-10
MIGAL,2.1090401176817757e-10,1.5513705835905226e-10,3.568305103902461e-10,4.6149092869805104e-10,0.0,0.0,3.2178635838196034e-09,9.398280650493491e-09,0.0,0.0
MTI02,4.746756121768971e-10,3.099375586045498e-10,0.0,0.0,4.761487973253636e-10,5.339335276735687e-10,1.1746792138350174e-08,3.43330706419497e-08,0.0,0.0
ARSD,2.3712510229778747e-10,1.3499411110913239e-10,5.588244341359065e-10,6.559253287749476e-10,0.0,0.0,6.611895133597547e-09,2.2042552898681625e-08,4.3858402432466456e-10,1.800785350816163e-09
GBOS,1.0496788149978242e-10,8.235194151735215e-11,1.2008385874571442e-10,1.5714771237212224e-10,1.995886991693561e-10,2.363573982084306e-10,1.4385960302437466e-09,5.441309898835844e-09,0.0,0.0
OGSI,1.508672983899743e-10,1.0054082404065315e-10,0.0,0.0,1.4271300619964788e-10,1.6154557048553715e-10,3.3534583012548772e-09,1.0182447070802356e-08,0.0,0.0
HAR3,7.01227758816546e-10,4.4076906191013164e-10,1.1920075647151764e-09,1.6602623812887452e-09,7.528508150260509e-10,7.991734790647658e-10,2.0873712645111456e-08,5.4924521467591575e-08,0.0,0.0
CEST,1.2758128025423776e-10,5.721022579468728e-11,3.9048108959250527e-10,4.990904562209154e-10,0.0,0.0,4.758955937927889e-09,1.1616357859608365e-08,0.0,0.0
SAVF,3.478651309614317e-10,2.2487155790751808e-10,0.0,0.0,0.0,0.0,6.023010197712059e-09,2.117868792964205e-08,0.0,0.0
GRN,2.9190465377490824e-10,2.210814986225176e-10,3.7192145327293406e-10,4.725657431004599e-10,2.1971681163541615e-10,2.6033567149921487e-10,4.387693220255469e-09,1.30414963841338e-08,0.0,0.0
WTTA,3.2951553654795155e-10,2.7022626251448993e-10,4.662230551256545e-10,6.14010291174355e-10,5.455101826989535e-10,5.622327503041535e-10,6.6611967949382965e-09,4.4190060317463614e-08,0.0,0.0
TSDF,8.352384870559372e-10,5.22314946270247e-10,1.286885992392789e-09,1.6993760377852739e-09,0.0,0.0,0.0,0.0,0.0,0.0
