,2022_05_09T11_13_38_coda,2022_05_09T11_13_38_envelope,2023_03_22T14_50_33_coda,2023_03_22T14_50_33_envelope,2018_11_18T12_48_44_coda,2018_11_18T12_48_44_envelope,2023_06_16T16_38_28_coda,2023_06_16T16_38_28_envelope,2012_12_30T23_35_02_coda,2012_12_30T23_35_02_envelope
PYLO,5.51224390787349e-10,4.977662774929314e-10,0.0,0.0,0.0,0.0,1.0606729330755677e-08,2.8502780392382103e-08,0.0,0.0
ZELS,2.1439724174949567e-09,1.8368312774454318e-09,0.0,0.0,1.9908712207739902e-09,2.308587637292058e-09,3.4011575435654774e-08,1.27338588656073e-07,0.0,0.0
RCHB,3.0056392404085405e-10,1.9678899915510944e-10,4.2150472851026247e-10,5.537525260007112e-10,0.0,0.0,4.317423395913247e-09,1.6066760166579426e-08,0.0,0.0
SQTA,8.363214920986935e-10,6.790072472484944e-10,5.475558112521775e-10,6.770628264477153e-10,4.0526325574004637e-10,4.3177439624825777e-10,6.170293455939312e-09,3.2260508214217156e-08,0.0,0.0
BNALP,1.6065609541089098e-10,1.1003238739121168e-10,0.0,0.0,2.784779702930207e-10,3.029169294177405e-10,5.7514220101454035e-09,1.810122333188225e-08,2.993022769771653e-10,9.876178067933164e-10
CARF,2.9558680964368437e-10,1.7640029451649435e-10,7.689195271478906e-10,1.0468081854601431e-09,0.0,0.0,0.0,0.0,0.0,0.0
GIZF,8.402647594971255e-10,4.2821081112309486e-10,1.299517035017318e-09,1.7148876947093515e-09,0.0,0.0,0.0,0.0,0.0,0.0
SROF,2.4981022242537585e-10,1.1600964937028044e-10,6.680341144858062e-10,8.83011444248337e-10,0.0,0.0,3.992746914254399e-09,1.4218788150374934e-08,0.0,0.0
MG54,9.218018992641919e-10,9.77801245274609e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SALF,2.0978499427705158e-10,9.874965631446636e-11,6.78695295725149e-10,9.213257712530201e-10,0.0,0.0,7.59087541267637e-09,2.2588834941470905e-08,0.0,0.0
CGAR,3.083173552477776e-10,2.2450529357635536e-10,0.0,0.0,0.0,0.0,3.087688407347429e-09,9.030075374328218e-09,0.0,0.0
BESN,3.617857759242894e-10,2.0626602705349234e-10,8.46024310288149e-10,1.175780746636237e-09,0.0,0.0,4.873888599886406e-09,1.765943094468537e-08,0.0,0.0
HGN,3.353581891217361e-10,2.2673656232838856e-10,5.41341853368985e-10,7.436884876604535e-10,0.0,0.0,6.1444084170396325e-09,2.4910810048094907e-08,0.0,0.0
DAGMA,1.097245602083647e-09,8.54023734997346e-10,0.0,0.0,5.682863917626437e-10,6.700494125984252e-10,1.2226847476625408e-08,3.1623024964069275e-08,0.0,0.0
EJON,1.3342369218420578e-10,1.10070440097927e-10,2.7674445968010375e-10,3.5887004547892736e-10,0.0,0.0,2.757701813330109e-09,6.521125421829384e-09,2.9148239637307223e-10,5.07269856457573e-10
MSSA,2.7697013197710475e-10,2.2996109572373759e-10,4.531255488150293e-10,6.002258698056436e-10,7.7582176549869e-10,1.020522028749344e-09,0.0,0.0,3.6365694065346486e-10,7.460538161680537e-10
BEGF,2.7497121423626576e-10,1.0974316945245195e-10,8.089940620320376e-10,1.0650805727811651e-09,0.0,0.0,0.0,0.0,0.0,0.0
ETNF,2.7277851385155646e-10,1.5818177260944122e-10,0.0,0.0,0.0,0.0,7.796745830590165e-09,2.801032531917884e-08,0.0,0.0
BDI,2.367668410416795e-10,1.8375863418425928e-10,4.1321885696351436e-10,4.999291079933262e-10,0.0,0.0,2.007085083634448e-09,1.0035006802403572e-08,1.862228910597669e-10,3.4700935284728427e-10
BETHI,2.4628079864795457e-10,1.4425858422144466e-10,4.773031553697537e-10,6.392166838776723e-10,0.0,0.0,7.0717355883819824e-09,1.99965662740858e-08,0.0,0.0
GUEF,1.983495115743121e-10,1.0818827767635846e-10,0.0,0.0,0.0,0.0,3.9498374556097885e-09,1.2660766141303844e-08,0.0,0.0
CFON,1.7591086223187807e-10,7.713958246603901e-11,0.0,0.0,0.0,0.0,2.969839068136414e-09,8.182382406512591e-09,0.0,0.0
CHIF,3.5139000848553064e-10,2.3175100406790764e-10,1.011940314690685e-09,1.2355690559009715e-09,0.0,0.0,0.0,0.0,0.0,0.0
GSCL,1.6386801282397848e-10,1.35896422389146e-10,1.8257770827623278e-10,2.433907651135421e-10,0.0,0.0,1.9630984856150077e-09,1.0451129587707913e-08,0.0,0.0
OSSF,1.1441659786658084e-10,7.881775543523202e-11,0.0,0.0,0.0,0.0,2.803355315144446e-09,8.637384265930892e-09,0.0,0.0
GRYON,2.048629475817492e-10,1.2202939491334798e-10,0.0,0.0,0.0,0.0,5.8651042917063655e-09,1.9115510529387757e-08,0.0,0.0
MG57,7.74503977332156e-10,6.916679609006119e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VDL,3.2367350083768235e-10,2.7235182167443156e-10,2.3227353237385856e-10,3.082068188592385e-10,2.973536576855277e-10,3.2090451908991203e-10,4.318549630419917e-09,1.480857231698032e-08,2.3354230262965603e-10,8.009710357718323e-10
CBEU,1.6264301326009443e-10,9.251044927102738e-11,3.896489453928955e-10,5.24354428225456e-10,0.0,0.0,4.047322615758122e-09,1.0626698833878614e-08,0.0,0.0
CTRE,1.0144994753978639e-10,5.1311913462433455e-11,0.0,0.0,0.0,0.0,3.2476204680635787e-09,9.159436267136053e-09,0.0,0.0
LABF,3.3638751746672347e-10,1.424185574438544e-10,0.0,0.0,0.0,0.0,8.81088053237645e-09,2.692530133465883e-08,0.0,0.0
AVP,8.013364865367565e-10,5.6239427070477e-10,1.3112393085499352e-09,1.7353899629851763e-09,9.46375123133733e-10,1.032918152837224e-09,1.5491659712756432e-08,4.3282985579881545e-08,7.768326679511572e-10,1.756783683226596e-09
RIVEL,3.3292561299619644e-10,1.8493182765161326e-10,0.0,0.0,2.7744098060889023e-10,3.1666677799957063e-10,7.502251963896998e-09,2.49433131359599e-08,0.0,0.0
ZCCA,4.111929388071236e-10,3.2606826421700486e-10,1.3842657588824632e-09,1.6469459895596263e-09,0.0,0.0,5.533521424268121e-09,2.921031097600225e-08,3.4114986817806335e-10,6.901842801045485e-10
ROVR,8.341541699274888e-10,6.120587963717763e-10,9.247626998532626e-10,1.151707494565827e-09,0.0,0.0,4.887279674151242e-09,2.222691907515625e-08,0.0,0.0
PYHE,5.240860340842477e-10,4.4109942191183976e-10,0.0,0.0,0.0,0.0,4.004602965759837e-09,1.236356137430656e-08,0.0,0.0
