,2012_01_27T14_53_13_coda,2012_01_27T14_53_13_envelope,2022_03_12T17_03_22_coda,2022_03_12T17_03_22_envelope,2023_03_22T14_50_33_coda,2023_03_22T14_50_33_envelope,2012_12_30T23_35_02_coda,2012_12_30T23_35_02_envelope
GEC1,1.1530936744240516e-10,3.517221006987444e-11,0.0,0.0,0.0,0.0,0.0,0.0
PERS,3.9713944585911264e-09,1.222369832009416e-09,0.0,0.0,4.1212775801137964e-10,5.443702516636581e-10,0.0,0.0
HWTS,1.0360791406785242e-08,2.572147189509645e-09,0.0,0.0,0.0,0.0,0.0,0.0
NEUB,2.193293414396665e-08,5.131293827571241e-09,0.0,0.0,0.0,0.0,0.0,0.0
PY16,3.542980120106183e-09,1.196328451818564e-09,0.0,0.0,0.0,0.0,0.0,0.0
PF05,3.595814276953973e-09,1.2827337093817495e-09,0.0,0.0,0.0,0.0,0.0,0.0
VVLD,2.7304375438446277e-09,7.4351607206264e-10,0.0,0.0,0.0,0.0,0.0,0.0
ECH,5.381846590360348e-09,1.5486161834596992e-09,9.93317092656022e-10,2.829636828961153e-10,0.0,0.0,7.094374398117679e-10,2.166616218521809e-09
GEC6,1.0730913601895068e-10,3.1062455085985356e-11,0.0,0.0,0.0,0.0,0.0,0.0
GEC4,1.0403889495643415e-10,3.088070030602087e-11,0.0,0.0,0.0,0.0,0.0,0.0
ATPC,4.668775189777504e-09,1.472038614459889e-09,4.948628420979966e-10,3.073216232176884e-10,3.6387532315769393e-10,4.707080469147101e-10,0.0,0.0
PY11B,3.5854693615715353e-09,1.360725681704657e-09,0.0,0.0,0.0,0.0,0.0,0.0
SCHF,6.722758160297089e-09,1.972813004739816e-09,0.0,0.0,0.0,0.0,0.0,0.0
GRA1,1.973009358845209e-08,5.503227060817946e-09,2.049458714831125e-09,7.48684449510626e-10,2.641346737632811e-09,3.4083248338035476e-09,0.0,0.0
FETA,5.5184399656938825e-09,1.631856124107712e-09,3.7625665877232336e-10,1.259882355420702e-10,3.4452425749713905e-10,4.6041856872195176e-10,0.0,0.0
TRTR,2.6946861377500563e-08,1.3333679919430384e-08,0.0,0.0,0.0,0.0,0.0,0.0
LNSS,3.8604997311669594e-09,1.1937637845474415e-09,8.528269070876255e-10,5.265961490395837e-10,0.0,0.0,0.0,0.0
