,2012_01_27T14_53_13_coda,2012_01_27T14_53_13_envelope,2022_03_12T17_03_22_coda,2022_03_12T17_03_22_envelope,2023_03_22T14_50_33_coda,2023_03_22T14_50_33_envelope,2012_12_30T23_35_02_coda,2012_12_30T23_35_02_envelope
PSB1,4.384241791920518e-09,1.433135612333496e-09,0.0,0.0,0.0,0.0,0.0,0.0
GWBC,0.6084680562229475,0.2126571813508398,0.0,0.0,0.0,0.0,0.0,0.0
PY10B,2.673629988722712e-09,1.1805781589006674e-09,0.0,0.0,0.0,0.0,0.0,0.0
GEA1,1.1067383218640136e-10,3.438243983846392e-11,0.0,0.0,0.0,0.0,0.0,0.0
CMPR,1.7093948330601895e-09,5.712432878729863e-10,0.0,0.0,0.0,0.0,0.0,0.0
WLF,8.777057730253388e-09,2.7240402202931393e-09,1.95415087758438e-09,5.326533706629921e-10,1.5051896905816431e-09,1.9391094609919736e-09,1.258588142278108e-09,4.667311241972257e-09
ACER,7.545826714904297e-09,2.257021363664004e-09,0.0,0.0,0.0,0.0,0.0,0.0
PE06,3.1148657799372404e-09,1.359763783438519e-09,0.0,0.0,0.0,0.0,0.0,0.0
BNALP,3.541171127205189e-09,1.1603325902904471e-09,0.0,0.0,0.0,0.0,2.993022769771653e-10,9.876178067933164e-10
CRES,3.66396612231996e-09,1.075436204024432e-09,3.2594044890647525e-10,1.3912803865351126e-10,2.551260478722027e-10,3.278627761907504e-10,0.0,0.0
1980,5.950860113095128e-09,1.924248427380327e-09,0.0,0.0,0.0,0.0,0.0,0.0
PY3AB,2.214910490067938e-09,6.66496904048239e-10,0.0,0.0,0.0,0.0,2.867861647009838e-10,5.988461275599767e-10
CEY,4.0085659407646355e-09,1.3828138729074584e-09,4.3269476157010093e-10,1.7563320082464066e-10,3.975231472862609e-10,4.883588170397583e-10,0.0,0.0
CING,4.023950890511365e-09,1.2393626230253275e-09,0.0,0.0,0.0,0.0,0.0,0.0
GEB2,1.1016518145008134e-10,3.274804580112116e-11,0.0,0.0,0.0,0.0,0.0,0.0
TRIV,1.0223440707976261e-08,2.7005510541395473e-09,0.0,0.0,0.0,0.0,0.0,0.0
WLS,4.840835213144105e-09,1.5734825378393635e-09,1.1629499078220471e-09,3.428771428940678e-10,0.0,0.0,5.639546952136761e-10,2.2693907210650174e-09
GUNZ,1.0508677749777267e-08,2.8525146099436204e-09,0.0,0.0,0.0,0.0,0.0,0.0
GEA3,1.14895624895251e-10,3.2898501953503944e-11,0.0,0.0,0.0,0.0,0.0,0.0
EJON,1.7962340463772551e-09,9.584597215571551e-10,1.4498241071615655e-09,7.225481530187622e-10,2.7674445968010386e-10,3.5887004547892736e-10,2.9148239637307223e-10,5.07269856457573e-10
PY06,1.8797444571587235e-09,6.596586759477585e-10,0.0,0.0,0.0,0.0,0.0,0.0
PESA,1.0013911390723116e-08,3.435916685205032e-09,0.0,0.0,2.1393531594090838e-09,2.718881786046269e-09,0.0,0.0
SJAF,4.613026606969083e-09,2.179032690372248e-09,2.359374067788457e-09,1.2698826856188058e-09,5.011055946021085e-10,6.648188121862563e-10,5.762472970377119e-10,8.640004090096761e-10
MURB,8.323476525683436e-09,2.405417766938451e-09,1.081870339585564e-09,3.5056958839687935e-10,7.219787891162566e-10,9.162199843380487e-10,0.0,0.0
PY27B,8.478241260547626e-09,2.86926481439391e-09,0.0,0.0,0.0,0.0,0.0,0.0
FUORN,3.372472213385564e-09,1.1555087529762563e-09,3.604507000182958e-10,1.0265682497730344e-10,3.1259380187621486e-10,4.060177228740364e-10,2.447826028847359e-10,8.138971726783504e-10
SIMPL,2.730030929466817e-09,1.0095921646490259e-09,0.0,0.0,0.0,0.0,2.6629425611692156e-10,6.969784985431714e-10
OGDI,1.8296180148247598e-09,5.97275786746339e-10,0.0,0.0,1.9150944351305848e-10,2.6234689590413757e-10,2.2650221373403227e-10,4.62650288359449e-10
VDL,3.4141012740982607e-09,1.1003799953075403e-09,4.0570227026527215e-10,1.4854551342045553e-10,2.3227353237385856e-10,3.082068188592385e-10,2.3354230262965603e-10,8.009710357718323e-10
GED8,9.37297708763847e-11,3.118801240382455e-11,0.0,0.0,0.0,0.0,0.0,0.0
PY04,8.555444265554107e-09,2.923024611109975e-09,0.0,0.0,0.0,0.0,0.0,0.0
MOMA,2.661448038250067e-09,7.578170592179355e-10,2.9143449465034265e-10,1.82727964152174e-10,3.0020099727000864e-10,3.8205019736498726e-10,0.0,0.0
CLF,1.3725811916648568e-08,3.8613237489120735e-09,2.7070654989398163e-09,7.611853787811242e-10,1.954810863375664e-09,2.509997465793087e-09,1.2420350165923723e-09,3.7531453990487e-09
SLE,5.107720111692688e-09,1.572062100972815e-09,5.978984735337861e-10,1.9694859577065127e-10,0.0,0.0,5.257779051245069e-10,1.7507819735136131e-09
PY36B,1.795845440440877e-09,6.220025667602701e-10,0.0,0.0,0.0,0.0,0.0,0.0
FBE,4.250046262835161e-08,9.93798099728081e-09,0.0,0.0,0.0,0.0,0.0,0.0
T0104,5.380760224582136e-09,3.6548924663495366e-09,0.0,0.0,0.0,0.0,0.0,0.0
WERD,3.042410093212001e-09,8.01673721859179e-10,0.0,0.0,0.0,0.0,0.0,0.0
LSD,3.6489175835822316e-09,1.0665972845158448e-09,0.0,0.0,0.0,0.0,2.907505065605186e-10,8.23623689177301e-10
GEB5,1.1902534529174112e-10,3.665172434039773e-11,0.0,0.0,0.0,0.0,0.0,0.0
SURF,2.178381515305572e-09,6.043069984591697e-10,0.0,0.0,2.0019818702895567e-10,2.579673329241653e-10,2.176949505756744e-10,3.909711611686957e-10
GRFO,1.490646299846455e-08,4.2936270982107096e-09,1.1051579942466006e-09,3.7491194131038976e-10,1.3421607396988167e-09,1.708109645104147e-09,0.0,0.0
RNI2,6.9917002380865745e-09,1.869413255310156e-09,0.0,0.0,0.0,0.0,0.0,0.0
MELA,9.99008353552753e-09,2.684097187190346e-09,0.0,0.0,0.0,0.0,0.0,0.0
TUE,4.8033974345571585e-09,1.5226138087379987e-09,0.0,0.0,0.0,0.0,5.057656425051459e-10,1.2790567539663554e-09
CESI,2.480858957577092e-09,6.167061629446481e-10,4.3516957285347037e-10,2.347487197456482e-10,2.8109171095037337e-10,3.631227929207066e-10,0.0,0.0
FRES,7.545624218568917e-09,2.1762011234945622e-09,0.0,0.0,0.0,0.0,0.0,0.0
RSL,1.691094604900312e-09,5.563395608847364e-10,0.0,0.0,0.0,0.0,1.6529684972639742e-10,4.336120922748835e-10
PLONS,3.6848815015800923e-09,1.2629375360373495e-09,4.4624541204229736e-10,3.1466080933397275e-10,0.0,0.0,0.0,0.0
PRU,8.900025097530183e-09,2.059360824186193e-09,0.0,0.0,2.613045708977762e-10,3.720020977352572e-10,0.0,0.0
MULD,7.191309342912056e-09,2.508865405859558e-09,0.0,0.0,0.0,0.0,0.0,0.0
LJU,5.365806211032091e-09,1.573548598114162e-09,1.571305253292362e-09,5.585696096585379e-10,1.4917029122656362e-09,1.9129741064298903e-09,0.0,0.0
LIENZ,5.278920348968821e-09,1.7184998066412503e-09,5.166524462485968e-10,1.7430629042782834e-10,0.0,0.0,4.540640207859532e-10,1.7329823944715002e-09
OBKA,5.343585349083872e-09,1.684493418057637e-09,5.038288233182503e-10,1.3789224668498578e-10,5.478671445197642e-10,7.139840343212243e-10,0.0,0.0
AVR,1.9324059973722e-09,6.434548038923724e-10,0.0,0.0,3.1461227378164533e-10,4.1304198448547086e-10,2.325627202217442e-10,5.163574186116558e-10
GEA2,1.1472482876501736e-10,3.458028959706164e-11,0.0,0.0,0.0,0.0,0.0,0.0
WIMM,1.0022922453013261e-08,2.725612080723904e-09,0.0,0.0,0.0,0.0,0.0,0.0
DIX,2.3865381958066957e-09,7.768985375825315e-10,0.0,0.0,0.0,0.0,2.2789116029643612e-10,5.6057211541317e-10
BOSI,4.6247750207366495e-08,2.0193611809519023e-08,0.0,0.0,0.0,0.0,0.0,0.0
SAMA,5.215891567261926e-09,2.787831777874679e-09,0.0,0.0,0.0,0.0,0.0,0.0
OGAG,1.8200542213136167e-09,6.759557353591774e-10,0.0,0.0,2.761070965955636e-10,3.831891390698579e-10,2.4136084658379256e-10,6.356591379737061e-10
PGT2,1.803936523737809e-09,5.463767835715027e-10,0.0,0.0,0.0,0.0,5.282584873875431e-10,5.97858567208272e-10
PY32,1.845482197634899e-09,5.910758147643634e-10,0.0,0.0,0.0,0.0,2.702381637856535e-10,5.191393316043476e-10
PY13,1.60513653545557e-09,6.723773772005457e-10,0.0,0.0,0.0,0.0,2.805091197553502e-10,5.719190742233128e-10
KNDS,5.245905155741138e-09,1.500445962568584e-09,6.135402121716388e-10,2.473838886168138e-10,3.3338156902078375e-10,4.2446902407677807e-10,0.0,0.0
PY31,3.034651857084306e-09,7.345174481914758e-10,0.0,0.0,0.0,0.0,2.3597222038695667e-10,5.277679987824292e-10
LILIE,4.366553202845991e-09,1.612180646410985e-09,1.042109162044482e-09,3.3579409422957616e-10,9.213480228331836e-10,1.2007253185037123e-09,7.30952152370214e-10,3.210261449777853e-09
PF07,3.292640194430714e-09,9.434035955584934e-10,0.0,0.0,0.0,0.0,0.0,0.0
PY39,2.463608135164024e-09,7.056582628769464e-10,0.0,0.0,0.0,0.0,2.5264297894360305e-10,6.056306638516865e-10
PE05,2.072382544731469e-09,7.826825811233501e-10,0.0,0.0,0.0,0.0,0.0,0.0
PZZ,4.3273588190872496e-09,1.350865915033077e-09,0.0,0.0,5.909612672231142e-10,7.423004045040152e-10,5.143871384859354e-10,1.1090253659423576e-09
PZUN,9.240401566801782e-09,4.080059236356739e-09,0.0,0.0,0.0,0.0,0.0,0.0
MRLC,2.866302298600057e-09,8.486327304859323e-10,0.0,0.0,0.0,0.0,0.0,0.0
BNI,2.1927303461579767e-09,7.901331181421095e-10,0.0,0.0,0.0004275056469389,0.0005690570784307,2.574485650473931e-10,6.670281257633494e-10
AHRW,7.8395708635639e-09,2.375720493652501e-09,0.0,0.0,0.0,0.0,0.0,0.0
PY19,2.269440749685449e-09,8.756879822074294e-10,0.0,0.0,0.0,0.0,2.9729835197734283e-10,5.517160551454419e-10
VANNI,3.392961172476221e-09,1.1491071279167723e-09,0.0,0.0,0.0,0.0,3.272411224702961e-10,8.343196504260061e-10
SACR,3.140452430618072e-09,9.64476390037337e-10,0.0,0.0,0.0,0.0,0.0,0.0
PF06,1.5998443885444724e-09,5.70397860151159e-10,0.0,0.0,0.0,0.0,0.0,0.0
BRG,7.748859803157384e-09,1.9622849919794267e-09,0.0,0.0,0.0,0.0,0.0,0.0
SOKA,4.14613866758161e-09,1.3127584474250383e-09,3.565409265377612e-10,1.0055460720486244e-10,3.789665614381806e-10,4.782185066070685e-10,0.0,0.0
MAON,1.9618354394045816e-09,6.771874416908576e-10,0.0,0.0,0.0,0.0,0.0,0.0
PE02,1.8170409789528795e-09,8.704489311828674e-10,0.0,0.0,0.0,0.0,0.0,0.0
HKWD,8.139073528055585e-09,2.3270839474859957e-09,0.0,0.0,0.0,0.0,0.0,0.0
MA9,2.2624327239825507e-08,1.2808458690014402e-08,0.0,0.0,0.0,0.0,0.0,0.0
ATVO,4.792424142752642e-09,1.3233965300727444e-09,4.5931111486136974e-10,1.8260841246117275e-10,3.914611070515432e-10,5.026607577317485e-10,0.0,0.0
PF14,2.758191685802951e-09,1.0158009689031084e-09,0.0,0.0,0.0,0.0,0.0,0.0
WBA,0.7846757782859773,0.2190551460404301,0.0,0.0,0.0,0.0,0.0,0.0
GEPF,2.5597691095899274e-09,7.715074878599638e-10,4.3553651165854727e-10,1.8766906342805554e-10,3.8988668950911005e-10,5.017894595062057e-10,0.0,0.0
GUAR,1.731648841874816e-09,4.671373571125182e-10,5.953411098903099e-10,2.9001662430426636e-10,0.0,0.0,0.0,0.0
GEC5,9.691960293564492e-11,3.123322645290238e-11,0.0,0.0,0.0,0.0,0.0,0.0
CFF,1.1005804075893477e-08,4.275650784705887e-09,9.72920051402754e-09,4.589806603739845e-09,1.2131177558252864e-08,1.5097964006314554e-08,1.177101325256222e-09,2.253317180106685e-09
CRNS,4.033704572005642e-09,1.2715199287534703e-09,5.695741887077206e-10,2.5266377610451256e-10,3.171443649771917e-10,4.126946283694645e-10,0.0,0.0
BOURR,9.966006202558643e-09,2.913389826773505e-09,0.0,0.0,0.0,0.0,9.06808586000651e-10,3.06813773249235e-09
PY29B,2.414435820034748e-09,7.546001929380852e-10,0.0,0.0,0.0,0.0,2.944762198261321e-10,6.353576958790002e-10
ARSD,2.859460704770373e-09,8.657680612310718e-10,7.582413891746172e-10,1.9212016164036832e-10,5.588244341359067e-10,6.559253287749477e-10,4.3858402432466456e-10,1.800785350816163e-09
SENIN,3.133899956287045e-09,9.996309081101402e-10,0.0,0.0,0.0,0.0,3.0088151004357826e-10,8.783027198253962e-10
ATFO,5.071936694687941e-09,1.7111613325912759e-09,6.391821437106305e-10,3.344753763938397e-10,7.703210244157426e-10,9.92874344265526e-10,0.0,0.0
MEM,4.080735767834334e-09,1.2443258978071886e-09,7.91306303698151e-10,2.1884636923555159e-10,5.151739924953266e-10,6.885660116253077e-10,0.0,0.0
SACS,3.110159895391165e-09,1.1611505586356366e-09,4.6140012716482536e-10,2.3705507283342144e-10,3.6561655278366967e-10,4.687927501452554e-10,0.0,0.0
AGOR,1.1521445826097397e-08,2.4181377729666434e-09,2.7568447328805703e-10,1.3618616344225546e-10,3.193944579735793e-10,4.1318353275948137e-10,0.0,0.0
PY18B,3.835513868915622e-09,1.3666603477952035e-09,0.0,0.0,0.0,0.0,0.0,0.0
FUR,1.1371962200606631e-08,4.030731635317411e-09,0.0,0.0,0.0,0.0,0.0,0.0
PF10,6.9325594653802515e-09,2.199294745406709e-09,0.0,0.0,0.0,0.0,0.0,0.0
VOJS,3.9568377166061734e-09,1.375767133780566e-09,4.0549457824422917e-10,1.6075898711820567e-10,3.0316611646091357e-10,4.123918464592601e-10,0.0,0.0
GEA0,1.1526361224272836e-10,3.4317070175781754e-11,0.0,0.0,0.0,0.0,0.0,0.0
FUSIO,3.291666883846269e-09,1.3029315135145875e-09,0.0,0.0,0.0,0.0,2.588320922303484e-10,8.888101298181826e-10
PY38,2.6800978564119307e-09,1.0088110054002315e-09,0.0,0.0,0.0,0.0,3.0165025949168604e-10,7.644739910340459e-10
PY17,5.210641355657201e-09,2.2847330959238433e-09,0.0,0.0,0.0,0.0,0.0,0.0
AOI,2.915664516026172e-09,1.166302032020402e-09,0.0,0.0,6.653467374458027e-10,8.102564283510796e-10,0.0,0.0
DAVOX,2.463139410354973e-09,9.307692950724951e-10,3.1691332926556194e-10,1.0212407504515895e-10,2.619798048293687e-10,3.2748973782981345e-10,3.1063924923645583e-10,8.083113583877762e-10
1982,3.6688053724370775e-08,1.931195680358949e-08,0.0,0.0,0.0,0.0,0.0,0.0
BHB,1.254261100307471e-09,4.432013511892704e-10,0.0,0.0,2.4314394165189966e-10,3.126380048655259e-10,1.265902828060785e-10,2.6534025762110503e-10
BSSO,5.169053590076497e-09,1.3896921764906904e-09,0.0,0.0,0.0,0.0,0.0,0.0
CESX,2.736278711295389e-09,8.909998672093065e-10,6.24461244021253e-10,3.431583979707514e-10,6.04841395623787e-10,7.657187117721212e-10,0.0,0.0
RISI,2.676665015140233e-09,1.1291663823033458e-09,0.0,0.0,0.0,0.0,0.0,0.0
WILA,5.590584204139892e-09,1.870445043011629e-09,7.60154770513402e-10,2.5379978527318277e-10,0.0,0.0,5.200707888861793e-10,1.7974316418898491e-09
BORF,0.0,0.0,5.687671807675457e-10,1.7994515381449375e-10,0.0,0.0,0.0,0.0
CORG,0.0,0.0,3.7790231961853905e-10,1.6987354581132323e-10,0.0,0.0,0.0,0.0
ZVGAR,0.0,0.0,6.044235500552567e-10,2.9198059787366993e-10,0.0,0.0,0.0,0.0
EPF,0.0,0.0,6.269578999601678e-10,2.0723173822645667e-10,5.128537445477771e-10,6.803150588735197e-10,0.0,0.0
VDR,0.0,0.0,2.851898665197061e-10,1.0522396063434059e-10,2.494825548661778e-10,3.0825957114777077e-10,0.0,0.0
RIAF,0.0,0.0,1.000085962278835e-09,2.966396083406289e-10,6.364966952873682e-10,8.070705845146913e-10,0.0,0.0
RONF,0.0,0.0,6.106041137532726e-10,1.64578269527517e-10,0.0,0.0,0.0,0.0
GAGG,0.0,0.0,1.0591407991748027e-10,4.017707827500087e-11,1.0724146555275603e-10,1.366386837468489e-10,0.0,0.0
MABI,0.0,0.0,1.1904575508611824e-09,5.60116472626554e-10,3.3223276314589747e-10,4.685460712854716e-10,2.1902558895770346e-10,6.312239903780947e-10
SARZ,0.0,0.0,2.279745365469008e-09,1.1195744798358814e-09,9.122731529423356e-09,1.1609003223905534e-08,0.0,0.0
FUSE,0.0,0.0,3.224654808959902e-10,1.4395782337055034e-10,0.0,0.0,0.0,0.0
CSNT,0.0,0.0,3.9622095889648087e-10,2.2273173905380638e-10,4.705608197689046e-10,5.550365963876073e-10,0.0,0.0
FNVD,0.0,0.0,7.769676229156541e-10,3.446157536614606e-10,6.795122176143072e-10,8.141738683537964e-10,3.5735286199740526e-10,4.298497190970223e-10
LAJAS,0.0,0.0,7.475161536905676e-10,3.219751513911847e-10,0.0,0.0,0.0,0.0
URDF,0.0,0.0,2.740826407180312e-09,1.1181189883936642e-09,0.0,0.0,0.0,0.0
GENF,0.0,0.0,5.170038087984243e-10,1.6795985925442303e-10,3.1631039793821783e-10,4.12226657346509e-10,0.0,0.0
VIEF,0.0,0.0,1.016801235049823e-09,3.3897253819842375e-10,0.0,0.0,0.0,0.0
NEUF,0.0,0.0,1.3793892956242223e-09,5.778979737430318e-10,1.305060089288407e-09,1.699631423041429e-09,0.0,0.0
SGSF,0.0,0.0,4.682563679117704e-10,1.7763717882190142e-10,3.1741254110039075e-10,4.197939849163658e-10,0.0,0.0
ROTHE,0.0,0.0,7.817489137906217e-10,2.5315660718605576e-10,0.0,0.0,0.0,0.0
CRAS,0.0,0.0,8.652484393924592e-10,2.58221094408848e-10,6.32696249322713e-10,8.575668185577393e-10,0.0,0.0
MSSA,0.0,0.0,3.6650373877502562e-09,1.106450065994795e-09,4.5312554881502933e-10,6.002258698056436e-10,3.6365694065346486e-10,7.460538161680537e-10
OPTB,0.0,0.0,2.089279710584143e-09,7.366305241131514e-10,1.7112918321357291e-09,2.236221337636032e-09,0.0,0.0
CTRE,0.0,0.0,4.74275541380235e-10,1.9660906743955904e-10,0.0,0.0,0.0,0.0
BIOA,0.0,0.0,9.40399994063139e-10,2.6273885306791276e-10,0.0,0.0,0.0,0.0
ORDF,0.0,0.0,8.852564595063592e-10,2.3106267195319307e-10,0.0,0.0,0.0,0.0
ILLF,0.0,0.0,1.7299530177827864e-09,7.902958779490564e-10,0.0,0.0,0.0,0.0
SOMF,0.0,0.0,6.97456759845679e-10,2.2635764382640678e-10,4.412832301055394e-10,6.021218463345312e-10,0.0,0.0
EMING,0.0,0.0,3.3525330857888046e-10,9.91561896361222e-11,0.0,0.0,0.0,0.0
WALHA,0.0,0.0,4.5279476063624536e-10,1.4373354557850502e-10,0.0,0.0,0.0,0.0
BALS,0.0,0.0,1.125608289057077e-09,4.44133730799345e-10,7.897958083134332e-10,1.0699032923383796e-09,0.0,0.0
SALF,0.0,0.0,8.728927280010292e-10,3.1337819967163365e-10,6.786952957251491e-10,9.213257712530201e-10,0.0,0.0
CIMO,0.0,0.0,1.887950349858816e-10,4.7720657566710255e-11,1.3378015573451128e-10,1.7403275851229787e-10,0.0,0.0
BRGF,0.0,0.0,5.133706651422445e-10,1.7154271854581967e-10,3.4822124409618196e-10,4.5474824382429505e-10,0.0,0.0
DOSS,0.0,0.0,3.15581599450128e-10,1.1786963374662508e-10,2.5797009118197676e-10,3.4097672864406047e-10,0.0,0.0
ZCCA,0.0,0.0,8.118721356319476e-10,3.8030587142515517e-10,1.3842657588824636e-09,1.6469459895596263e-09,3.4114986817806335e-10,6.901842801045485e-10
PLRO,0.0,0.0,6.8982114544339e-10,1.6171211185497082e-10,0.0,0.0,0.0,0.0
RUFF,0.0,0.0,1.232354318228937e-09,4.3920705284669805e-10,1.1789171066936886e-09,1.601023762987958e-09,0.0,0.0
A074B,0.0,0.0,3.1388318050424114e-10,7.452452219827719e-11,0.0,0.0,0.0,0.0
CKRC,0.0,0.0,8.666638464885652e-10,1.7638412401349139e-10,2.360075917871334e-10,3.1448666175078875e-10,0.0,0.0
ROMAN,0.0,0.0,7.045907591869117e-10,3.2640322250299803e-10,0.0,0.0,0.0,0.0
RESF,0.0,0.0,8.96113752495821e-10,3.4049393732307873e-10,0.0,0.0,0.0,0.0
OPPE,0.0,0.0,1.4867276461642784e-08,1.2298628918529516e-08,2.5976352858845e-08,3.1840634316870304e-08,0.0,0.0
CRTC,0.0,0.0,1.7907850842359574e-09,1.2218664680944474e-09,9.760910673364064e-10,1.2625040993664826e-09,0.0,0.0
BEGF,0.0,0.0,1.378073841291319e-09,3.433923193127122e-10,8.089940620320378e-10,1.0650805727811651e-09,0.0,0.0
VILS,0.0,0.0,1.0891328578900751e-09,3.7496258494371925e-10,0.0,0.0,0.0,0.0
WTTA,0.0,0.0,6.389821598094481e-10,1.8338065747434523e-10,4.662230551256545e-10,6.140102911743552e-10,0.0,0.0
SAVF,0.0,0.0,7.056725167083944e-10,2.088006169771179e-10,0.0,0.0,0.0,0.0
WATA,0.0,0.0,6.260609014927957e-10,2.21606627850902e-10,9.251178763609657e-10,1.1466669159905804e-09,0.0,0.0
CRMI,0.0,0.0,3.498226490685618e-10,1.8749391623781567e-10,2.984883297843206e-10,3.6823875811744665e-10,4.9093621376578224e-11,8.569471590935204e-11
CBRU,0.0,0.0,7.916149881169154e-10,3.6499423627256236e-10,3.5730712276835206e-10,4.852686520099373e-10,0.0,0.0
WGT,0.0,0.0,5.205638356270647e-10,1.7273546743897127e-10,0.0,0.0,0.0,0.0
GORR,0.0,0.0,9.605077068521786e-10,4.948849017773129e-10,4.0087559345767066e-10,5.365469009642141e-10,2.9614267736120003e-10,7.09205268318479e-10
ZAVS,0.0,0.0,5.78525296388376e-10,2.2128980005500307e-10,4.714292179047656e-10,6.0046224244247e-10,0.0,0.0
ARBS,0.0,0.0,7.125803054014781e-10,2.186503748427668e-10,3.926253814625022e-10,5.319810615866943e-10,0.0,0.0
SALO,0.0,0.0,9.274921294108511e-10,5.15581222349622e-10,0.0,0.0,0.0,0.0
CRE,0.0,0.0,3.4900234119510007e-10,1.70085312478473e-10,3.0927358222336727e-10,4.0889476893488954e-10,0.0,0.0
VMV,0.0,0.0,4.00926666625048e-10,1.5971007399070964e-10,0.0,0.0,0.0,0.0
CASP,0.0,0.0,2.2248330445942363e-09,1.0461799919065518e-09,0.0,0.0,3.484153057027095e-10,4.379778421401064e-10
RSM2,0.0,0.0,2.2486500279503953e-09,1.092654410508034e-09,0.0,0.0,0.0,0.0
MELF,0.0,0.0,3.8983204888929886e-10,1.4896916341256036e-10,3.52556048210066e-10,4.900792030005779e-10,0.0,0.0
BETHI,0.0,0.0,8.108459464381536e-10,2.1263303187099864e-10,4.773031553697537e-10,6.392166838776723e-10,0.0,0.0
LFF,0.0,0.0,1.3063589838438976e-09,4.2069228175883666e-10,9.91789264285947e-10,1.3517585008573734e-09,0.0,0.0
BARI,0.0,0.0,3.4620340487266782e-09,1.0592416772803956e-09,2.044482514872854e-09,2.571420664826342e-09,0.0,0.0
REST,0.0,0.0,9.054799871997414e-10,4.663099553972257e-10,4.1322233494627214e-10,5.327230697346954e-10,0.0,0.0
LOR,0.0,0.0,6.75690793125262e-10,2.0431680046078327e-10,4.931456298795361e-10,6.387970356271845e-10,0.0,0.0
IMI,0.0,0.0,1.3455581402210343e-09,6.840464448113992e-10,4.3176899595301005e-10,5.401116553636231e-10,0.0,0.0
BSTF,0.0,0.0,1.474865586941985e-09,7.669806520816516e-10,5.561236133703745e-10,7.500523640969928e-10,0.0,0.0
RNCA,0.0,0.0,6.252744745128608e-10,3.68784167145436e-10,2.8962734586649183e-10,3.7454905778321145e-10,0.0,0.0
CURIE,0.0,0.0,7.696802884353024e-09,3.5101024121187523e-09,6.0062196595171405e-09,7.618133410687081e-09,0.0,0.0
ROVR,0.0,0.0,1.1250695086174508e-09,5.961106998984985e-10,9.247626998532626e-10,1.151707494565827e-09,0.0,0.0
PDKS,0.0,0.0,4.6344943125998584e-10,1.7811170955443832e-10,2.9508343217147624e-10,4.0334670386228086e-10,0.0,0.0
CRNF,0.0,0.0,7.771055663305581e-10,2.4357183279597035e-10,4.923710236480404e-10,6.016839677841511e-10,0.0,0.0
ASSB,0.0,0.0,5.001641347313264e-10,2.6985113260345215e-10,3.4593735889124527e-10,4.4833165478805324e-10,0.0,0.0
MUTEZ,0.0,0.0,1.141893281440106e-09,4.823161562072473e-10,0.0,0.0,0.0,0.0
VMAN,0.0,0.0,5.060733331020724e-09,5.340296813284844e-09,0.0,0.0,0.0,0.0
MOLES,0.0,0.0,6.174287000594914e-10,2.0610493098146144e-10,0.0,0.0,0.0,0.0
MTRZ,0.0,0.0,8.685125970269871e-10,4.090148834129743e-10,7.726518923098082e-10,1.0888216037476008e-09,0.0,0.0
ORZI,0.0,0.0,9.097486419400949e-09,4.650790211377844e-09,1.2863473628383154e-08,1.5623811652045074e-08,0.0,0.0
BERNI,0.0,0.0,2.515578175998583e-10,9.523272975094167e-11,2.2117866600932863e-10,2.9287958804818924e-10,2.4103188402332326e-10,6.869584758011646e-10
SQTA,0.0,0.0,6.178981111482112e-10,1.8522904186456946e-10,5.475558112521775e-10,6.770628264477153e-10,0.0,0.0
RJF,0.0,0.0,7.714613782961647e-10,2.4372584912332257e-10,5.314549191130606e-10,6.973723937271171e-10,0.0,0.0
MFF,0.0,0.0,9.52648990488052e-10,2.681569692640393e-10,5.825608418246145e-10,7.685494842582088e-10,1.5756344663209177e-09,3.249598018831827e-09
CLAF,0.0,0.0,1.6396276532610915e-09,9.157753037224043e-10,3.505642075132713e-10,4.507739081160503e-10,0.0,0.0
SAOF,0.0,0.0,9.652029234802178e-10,5.126543344161885e-10,3.0363174662896004e-10,3.8917647150077145e-10,3.96178041464662e-10,7.399386749494379e-10
BESN,0.0,0.0,1.4530289586317035e-09,4.855072732828605e-10,8.46024310288149e-10,1.1757807466362372e-09,0.0,0.0
CGAR,0.0,0.0,1.3614763117293326e-09,6.61907480347253e-10,0.0,0.0,0.0,0.0
ZELS,0.0,0.0,2.7360566102756023e-09,1.4421743931357781e-09,0.0,0.0,0.0,0.0
A024B,0.0,0.0,1.097105799780226e-09,4.793363616088001e-10,0.0,0.0,0.0,0.0
LATF,0.0,0.0,9.711703066500699e-10,3.4199027526525336e-10,6.870787630857495e-10,9.023045200072676e-10,0.0,0.0
CLUD,0.0,0.0,3.263915633381961e-10,1.0535654937771316e-10,3.2326395521885603e-10,4.167454729453178e-10,0.0,0.0
FRNF,0.0,0.0,5.09208907810528e-10,1.744039656014127e-10,3.5227682481999115e-10,4.6106659103247236e-10,0.0,0.0
FLAF,0.0,0.0,1.3541909777854252e-09,5.617974335156796e-10,3.5591481644409937e-10,4.665860230657048e-10,0.0,0.0
MUG01,0.0,0.0,4.459730503865002e-09,2.373634373800504e-09,0.0,0.0,0.0,0.0
HRSF,0.0,0.0,5.047423479260914e-10,1.5484133917969344e-10,3.075171163163295e-10,4.2217534730359686e-10,0.0,0.0
DUDEL,0.0,0.0,3.205747770587737e-09,1.5681685465132583e-09,2.765446349831422e-09,3.45235147992492e-09,0.0,0.0
DUNF,0.0,0.0,8.872728887885951e-10,3.493376410019282e-10,5.9103621156095e-10,8.003872663945099e-10,0.0,0.0
A072A,0.0,0.0,2.763046656570283e-10,6.300957005767744e-11,0.0,0.0,0.0,0.0
